label,text,is_valid
negative,برنامج الأمم المتحدة للbleeping-تصديق! ميج رايان لا تبدو حتى بيتها المحبوبة المعتادة في هذا ، والتي عادة ما تجعلني أغفر لها schtick الضحلة. من الصعب تصديق أنها كانت المنتج على هذا الكلب. بالإضافة إلى كيفن كلاين: أي نوع من رحلة الانتحار كانت مسيرته المهنية؟ Whoosh ... Banzai! أخيرا تم توجيه هذا من قبل الرجل الذي فعل Big Chill؟ يجب أن يكون اعادتها من Jonestown - اسلوب هوليوود. Wooofff!,False
positive,"هذا هو فيلم جيد للغاية. التمثيل والسيناريو والكاميرا كلها من الدرجة الأولى. الموسيقى جيدة أيضًا ، على الرغم من أنها مبكرة في الغالب في الفيلم ، عندما لا تزال الأمور مبتهجة نسبيا. لا يوجد نجوم مميزون بالفعل ، على الرغم من أن العديد من الوجوه ستكون مألوفة. فريق العمل بأكمله يقوم بعمل ممتاز مع البرنامج النصي. <br /> <br /> لكن من الصعب مشاهدته ، لأنه لا توجد نهاية جيدة لموقف مثل الموقف المقدم. من المألوف الآن إلقاء اللوم على البريطانيين لضبط الهندوس والمسلمين ضد بعضهم البعض ، ومن ثم فصلهم بقسوة إلى بلدين. هناك بعض الجدارة في هذا الرأي ، ولكن من الصحيح أيضًا أنه لم يجبر أحد من الهندوس والمسلمين في المنطقة على إساءة معاملة بعضهم البعض كما فعلوا في وقت التقسيم. يبدو من المرجح أن البريطانيين رأوا ببساطة التوترات بين الأديان وكانوا أذكياء بما فيه الكفاية لاستغلالهم في غاياتهم الخاصة. <br /> <br /> والنتيجة هي أن هناك قسوة ووحشية في الوضع وهذا هو غير سارة للغاية أن نتذكر ورؤية على الشاشة. ولكن لم يتم رسمها كحالة سوداء وبيضاء. هناك أساس ونبل على كلا الجانبين ، وكذلك الأمل في التغيير في الجيل الأصغر. <br /> <br /> هناك فداء من نوع ما ، في النهاية ، عندما يكون على بورو أن يتخذ خيارًا صعبًا بين الرجل التي دمرت حياتها ، ولكن أيضا أحبها حقا ، وعائلتها التي تبرأت منها ، ثم تأتي في وقت لاحق تبحث عنها. لكن عند هذه النقطة ، ليس لديها خيار بدون ألم كبير لها. <br /> <br /> يحمل هذا الفيلم رسالة مفادها أن المسلمين والهندوس يعانون من أخطائهم الخطيرة ، وأن كلاهما يمكن أن يكون كريما ورعاية الناس . إن حقيقة التقسيم تجعل هذا الإدراك أكثر إلحاحا ، لأنه لا يمكن أبدا أن تكون هناك مصالحة حقيقية عبر الحدود بين الهند وباكستان. وبهذا المعنى ، فإنه يشبه ""السيد والسيدة إيير"". <br /> <br /> في النهاية ، كنا سعداء لرؤية الفيلم ، على الرغم من أن القرار كان مفجعًا. إذا تمكنت المملكة المتحدة والولايات المتحدة من التعامل مع تاريخهما العنصري الخاص مع هذا النوع من الصراحة ، فمن المؤكد أنهم سيكونون أفضل حالاً.",False
negative,كل مرة واحدة في فترة طويلة الفيلم سوف يأتي ذلك سيكون مروعا للغاية لدرجة أنني أشعر بأنني مضطر لتحذير الناس. إذا كنت أعمل طوال كل حياتي ، وأستطيع أن أنقذ روحا واحدة من مشاهدة هذا الفيلم ، كيف سيكون فرحتي كبيرة. <br /> <br /> أين أبدأ مناقشتي للألم. بالنسبة للمبتدئين ، كان هناك مونتاج موسيقي كل خمس دقائق. لم يكن هناك تطور شخصية. كل شخصية كانت صورة نمطية. كان لدينا الشتائم الرجل ، رجل الدهون الذي يأكل الكعك ، رجل أجنبي أبله ، وما إلى ذلك شعرت السيناريو كما لو كانت مكتوبة كما كان يجري تصوير الفيلم. كانت قيمة الإنتاج منخفضة للغاية لدرجة أنها شعرت بأنني كنت أشاهد عرض فيديو صغيراً. هل سبق للمخرجين والمنتجين وغيرهم مشاهدة فيلم من قبل؟ يزداد الوضع سوءًا مع كل إدخال جديد. بدا مفهوم هذا الفيلم مضحك جدا. كيف يمكنك أن تخطئ مع غاري كولمان وحفنة من الجهات الفاعلة الشرعية إلى حد ما. ولكن ثق بي عندما أقول هذا ، سارت الأمور بشكل خاطئ ، صعب جدا.,False
positive,"الاسم فقط يقول كل شيء. شاهدت هذا الفيلم مع والدي عندما خرج وخدم في كوريا كان لديه إعجاب كبير للرجل. الشيء المخيب للآمال في هذا الفيلم هو أنه يركز فقط على فترة قصيرة من حياة الرجل - ومن المثير للاهتمام أن حياة الرجل بأكملها كانت ستجعل من هذا النوع الحيوي ملحمة أنه من المذهل تخيل تكلفة الإنتاج. <br /> <br /> بعض الملصقات تميل إلى الخصائص المعيبة عن الرجل ، وهي لقطات رخيصة. لم يكن موضوع فيلم ""واجب ، شرف ، بلد"" مجرد كلمات ممزقة من شفاه ضابط رفيع المستوى - إنه الإعلان العميق عن التفاني الكامل لشخص واحد لبلده. <br /> <br /> من سخرية القدر أن يكون ليبرالي أنه حصل على فهم أفضل للرجل. انه يقوم بعمل رائع يظهر جنرال شجاع خفف من الجانب الإنساني للرجل.",False
negative,ينجح هذا الفيلم في كونه أحد الأفلام الفريدة التي شاهدتها. لكن هذا يأتي من حقيقة أنه لا يمكنك جعل رؤوس أو ذيول هذه الفوضى. يبدو تقريبا كسلسلة من التحديات التي أقيمت لتحديد ما إذا كنت على استعداد للخروج من الفيلم والتخلي عن المال الذي دفعته للتو. إذا كنت لا ترغب في الشعور بالاحباط فسوف تجلس من خلال هذا الفيلم الرهيب وتطور شعورا حقيقيا بالشفقة للممثلين المشاركين ، لقد رأوا جميعًا أيامًا أفضل ، ولكن بعد ذلك أدركوا أنهم حصلوا على أموال قليلة للقيام بذلك ، وسوف يفقد شفقة لهم مثلما فعلت بالفعل للفيلم. لا أستطيع أن أذهب بما فيه الكفاية حول هذا الفيلم الرهيب ، وهو تقريباً شيء كان من الممكن أن يقوم به إد وود ، وفي هذه الحالة كان من المؤكد أنه سيكون تحفته الرائعة. <br /> <br /> لأنك مجبر على الجلوس من خلال فتح الحوار أمثاله الذي لم تره / سمعته ، يجب أن يكون هذا الشيء خمس دقائق. علاوة على ذلك ، يتم سرده ، كما تشير إلى أنه لا يمكن للمشاهد القراءة. ثم نلتقي مع السيد سلاتر وفتح وابل من الخطوط الرهيبة ، هو كما لو أنه يعمل فقط للحصول على خطوط لخط ملصق ملصق الفيلم. سرعان ما نلتقي ستيفن دورف ، الذي أستمتع به عادةً ، وهو يبذل قصارى جهده لكي لا يغرق في هذا الأمر ولكنه في النهاية يفعل ذلك. ثم تأتي الإهانة القصوى ، تارا ريد تلعب دور ذكي ، يا مساعدتنا! تارا ريد ليست ممثلة موهوبة جدا وبطريقة ما تحصل على أدوار في الأفلام ، في رأيي رغم أنها يجب أن تلتصق بأفلام من نوع الكعكة الأمريكية. <br /> <br /> الكل في الكل قد ترغب فقط في رؤية هذا بنفسك عندما يظهر على الفيديو ، وأنا أعلم أنني حصلت على طرد منه ، أعني دعنا جميعا نكون صادقين هنا ، في بعض الأحيان مرتاحا ل يسلط الضوء على عيوب الآخرين.,False
negative,"من البداية ، تعرف كيف سينتهي هذا الفيلم. إنه ممتلئ تمامًا بالكليشيهات ، لن يعجبك عضو NRA المعتاد من هذا الفيلم. أعطيها 2 من أصل 10 ، فقط بسبب تمثيل وليام بنتون. لا أستطيع أن أصدق أن الناس صوتوا 6+ لهذا الفيلم. انها متحيزة جدا نحو ""وجهة نظر معينة"" (مرة واحدة لص ...). الناس لا يولدون سيئة. لا هم ولدوا جيد. يولدون مع لائحة نظيفة. إنه المجتمع والآباء والتعليم ما يجعلهم من هم. وإذا ما اتخذوا منعطفاً خاطئاً ، في مكان ما من الخط ، فمن المؤكد أنه لن يكون نظام العقوبات الأمريكي الذي يعيدهم إلى المسار الصحيح! على أي حال ، تجنب هذا الفيلم مثل الطاعون. أراهن أن لديك أشياء أفضل لتفعلها في وقتك من أن تضيعها على هذه القطعة من الفضلات. <br /> <br />",False
negative,كان هناك الكثير من أفلام الرعب الرائعة التي تم إنتاجها في السبعينيات - لكن هذا الفيلم بالتأكيد ليس واحدًا منهم! من العار أن الطفل ليس أفضل لأنه يعمل من فكرة محترمة تأخذ في بعض الأحيان مواضيع رعب ناجحة. لدينا فكرة عن الطفل المنتقم ، والذي عمل بشكل جيد في الأفلام الكلاسيكية مثل The Bad Seed ، ومن ثم لدينا موضوع الزومبي المركزي ، والذي كان بالطبع العمود الفقري للعديد من أفلام الرعب الناجحة. المؤامرة هي في الأساس: تقوم الفتاة بإلقاء اللوم على الناس بسبب موت أمها ، لذلك تذهب إلى المقبرة وترفع الموتى للحصول على الانتقام (كما تفعل). هذا كله جيد وجيد ، باستثناء حقيقة أنه ممل! لا يحدث شيء لمعظم الفيلم ، وعلى الرغم من أنه يلتقط في النهاية مع بعض الغيوم اللطيفة. لا يكفي خاتمة لتبرير الجلوس عبر الباقي. من الواضح أن الفيلم قد تم تصويره بميزانية محدودة ، حيث تبدو المواقع رخيصة وكل الممثلين قمامة. لا يوجد الكثير مما يمكنني قوله عن الفيلم بشكل عام حيث لا يوجد الكثير من ذلك. الطفل هو نفض الغبار الرعب الكئيبة السبعينيات وأنا بالتأكيد لا أوصي به.,False
negative,"كنت محظوظاً بما يكفي لمقابلة جورج بال (ولا يزال لديّ DS: ملصق TMOB موقّع منه) في مؤتمر بعد فترة قصيرة من إطلاق سراحه ، وسألته عن سبب اختياره لفيلم ""المعسكر"". قبل أن يتمكن من الإجابة ، اعتراض اثنين من حوامل الاستوديو وحاضرتني حول الكيفية التي ""عرف بها الاستوديو"" وكيف ""لن يأخذ أحد مثل هذا الفيلم على محمل الجد"". كنت قد قرأت طبعات Bantam لبضع سنوات بفضل صديق (سوف يتذكر الحاضرون ComiCon من 1970s بلاكهوك وفرقته؟ كنت في بضع سنوات من ذلك معه) ، وكان آمال أكبر من ما حصلنا عليه . <br /> <br /> أصرت الطلقات على أنه لن يتم القيام بمغامرة عالية على محمل الجد ، وهكذا كان ""المخيم"" هو السبيل الوحيد. قفز العديد من المشجعين الآخرين على جانبي ، مع الاستماع إلى بال أفضل ما يستطيع. في نهاية الحدث الصغير ، جاء بال إلىنا واعتذر ، متمنياً أنه كان بإمكانه فعل المزيد والأفضل. <br /> <br /> وضع ستار وورز الكذبة على الرقائق ، وبعد مرور عام على وفاة بال ، سبيلبيرغ وقد أثبت لوكاس أن Doc Savage يمكن أن يكون بسهولة امتياز الفيلم الرئيسي التالي ... إذا لم يكن للرفاهية. <br /> <br /> تمزيق ذاكرة أو تاريخ المستند ، وسيكون الفيلم كان يستحق تصنيف 6/10 على أنه ليس أكثر من بائع الفشار الطائش. <br /> <br /> لكن تدمير الإرث مثل هذا لم يكن أقل رجاسة من قتل طفل في سرير الأطفال. <br /> <br / > ما زال بإمكان ""سافاج دوك"" الظهور على الشاشة ، والبقاء على قيد الحياة في المقارنات التي لا مفر منها بينه وبين ""إنديانا جونز"" ، غير أنه يتعين القيام به بكل جدية وجدية لاستعادة المجد الذي يجب أن نتوقعه من بطل أمريكا الأول. <br /> <br /> SIDENOTES: نعم ، كان هناك نصًا ثانيًا لـ ARCHENEMY OF EVIL ، وهو أكثر جدية. نعم ، كان هناك لقطات متزامنة ، ولكن معظمها ينشئ لقطات وقليل جدًا من الممثلين. ونعم ، هناك ، هناك ورقة واحدة من رون إيلي القفز فوق جدار من الطوب وانتقد في شيء على كتفه مع مسدس برونزية بنيت خصيصا لهذا الغرض. ""إيلي"" كان يرتدي خرداً على قميص أبيض مائل إلى الزرقة وربطة عنق من البرونز ، وعبارة ""DOC SAVAGE: ARCHENEMY OF EVIL ... القادمة الصيف القادم!"" POSTSCRIPT: إذا كان أي شخص يعرف من الذي كان استوديو الحشود التي رافقت جورج بال في عام 1975 إلى سان دييغو للاتفاقية ، صفعة البلهاء في الجانب من الرأس وتدعو لهم البلهاء أنهم. في ذلك الوقت ، كانوا يفعلون dorkknobs و Fu Manchu في المشارب والسراويل القماشية الفضفاضة ، ويحملون حقائب Paramount.",False
negative,"هذا الفيلم هو جهد طالبة من Stephanie Beaton وشركة إنتاجها الجديدة. في حين أنها تعاني من بعض المشاكل ، كما هو الحال مع كل إنتاج منخفض الميزانية ، إلا أنها بداية جيدة للسيدة بيتون وشركتها. <br /> <br /> لم تكن القصة جديدة بشكل كبير في أفلام مثل The Burning وكل يوم جمعة على 13th منذ الجزء 2. ولكن ، فإن العروض هي القلب. الكثير من الأفلام ذات الميزانيات الضخمة هي فقط الممثلين الذين يمرون بالحركات ، من الجميل دائماً أن نرى الممثلين يحاولون أصلاً صقل مهاراتهم. <br /> <br /> تتعامل القصة مع جريمة قتل (وعودة محتملة) لزميل مشوه . ويؤدي الآخرون إلى السرية ، لكن صدمة الحدث ترسل كل شخص في اتجاهات مختلفة في حياتهم. بعد عشر سنوات ، يتم قتل الأصدقاء واحدا تلو الآخر من قبل مطارد شنيع يعرف باسم ""ذا باجمان"". من سيبقى على قيد الحياة؟ عليك أن تشاهد. <br /> <br /> إذا كنت روجر إيبرت أو أي عدد من النقاد المتغطرسين ، فمن المحتمل ألا تزعج نفسك. ولكن إذا كان ذوقك يتجه نحو جو بوب بريجز وترغب في رؤية مجموعة من الأشخاص يقومون بشحذ مهاراتهم ، فراجع ""ذا باغمان"".",False
negative,"يأخذ غريغ ديفيس وبريان دالي بعض التصريحات المجنونة من قبل إرهابيين ، ويضيفون بعض التعليقات من قبل مجموعة من الرجعيين من اليمين المتطرف ، الذين يعزوون أكثر المواقف تطرفاً من أكثر المسلمين تطرفاً في العالم إلى كل من يطلق على أنفسهم اسم المسلمين ، ويعرض هذا الأمر على أنه لاهوت الإسلام. ربما يتضمن فيلمهم القادم إجراء مقابلات مع فريد فيلبس وجماعة كنيسة وستبورو المعمدانية ، وإضافة تعليق من بعض ""الملائكة"" الملحدين ، ويدعون بفيلمهم ""ما يحتاج العالم إلى معرفته عن المسيحية"". في نهاية المطاف ، يعاني هذا الفيلم من كل من الفقراء قيم الإنتاج وعدم الاهتمام بمعايير الصحافة الأساسية ، لا تضيع وقتك وأموالك ؛ فقط قم بتشغيل راديو AM واستمع إلى Rush Limbaugh لبضعة أيام مجانًا وستحصل على نفس الرسالة مع نفس المستوى من التحليل الفكري.",False
