text,label
 اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها,Positive
 الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,Negative
 كله رائع بجد ربنا يكرمك,Positive
 لسانك قذر يا قمامه,Negative
​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,Negative
ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,Positive
ابو الشباب راعي العود ليش ماوزنه في البيت غباء,Negative
ابو معيتق قطع اوتار العود وقال السلام عليكم,Negative
اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,Positive
اترك ما تهوى لاجل من تخشى,Positive
اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,Negative
اتفه على هيك برنامج عالمي,Negative
اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,Negative
اجتماع حواء اكيد في خرفنه ,Negative
اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,Negative
احب الله تعالى و رسوله الكريم,Positive
احتمال ما يشارك الليو البايخ,Negative
احذفه لاني بجلس احش فيهم لمين اكفر,Negative
احس انه يفطر حشيش,Negative
احسن اظن بالله وتوكل عليه وحده,Positive
احسن شيء العمل الذي يؤدي للاستمراريه,Positive
احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,Positive
احسنت كلام دقيق جدا,Positive
احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم ,Positive
احقر من هيك خيانه ما في,Negative
احلى اشي الواحد يوكل بدون ما يطبخ,Positive
احلى اشي في الحياه الاستقرار مع زوج صالح,Positive
احلى شىء النهايه الباقيه صح كلامك,Positive
احلى صباح من احلى شيخ في العالم,Positive
احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,Negative
احيانا الوحده تزيل بعضا من الهموم,Positive
احيانا يكون الفشل دافع للنجاح,Positive
اخ يا بطني عورني من الضحكك,Negative
اخبار مسخره,Negative
اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,Negative
اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,Negative
اخر واحد مهستر,Negative
اخرس صحيح ما تفهم,Negative
ادعي من الله ان يقوني علي طاعته,Positive
اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي ,Positive
اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى,Positive
اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,Negative
اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي,Positive
اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,Positive
"اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن",Negative
اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,Negative
اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,Negative
"اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!",Negative
اذا لم تقل لا للظلم فسيستمر الى الابد,Positive
اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,Negative
ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,Positive
ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,Negative
ارحمونا من الجوكر,Negative
اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,Positive
اسال الله ان يرزقني من يدعو لي في ظهر الغيب,Positive
اسال الله عزوجل له الثبات,Positive
اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,Positive
اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,Positive
اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,Positive
استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,Positive
استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,Negative
استخفف من لجنه التحكيم,Negative
استعينوا بالله يا مسلمين,Positive
استغفر الله مجانين يروحون سوبر ستار,Negative
استهبال باستهبال,Negative
استودعكم الله الذي لا تضيع ودائعه,Positive
اسخف لجنه تحكيم شفتها بحياتي,Negative
اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,Negative
اسعد الله صباحكم علامتنا بالخيرات,Positive
اسفل من بعضهم,Negative
اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.,Negative
اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,Positive
اسوا شعب الله في الكوميديا,Negative
اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,Positive
اشداء على الكفار رحماء بينهم,Positive
اشرب من كاس المر,Negative
اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,Positive
اشي بقهر مش لا هل درجه,Negative
اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,Positive
اصدقاء اوفياء ونتعلم منهم,Positive
اصلا ابو وديع لو كان اجا كان خسر,Negative
"اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات",Negative
اصلا سوبر ستار للعاهات,Negative
اصلا كتير من البنات بدهن يحكن مع الشباب,Negative
اصلا هدا يمسى مرض الرهاب الاجتماعي,Negative
اصلن صاحب البرنامج ماخذ شباب الامه مصخره,Negative
اصواتهم مع التوتر خربت,Negative
اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه,Positive
اضحك تضحكلك الدني,Positive
اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله,Positive
اطالب برحيل هذه الحكومه,Negative
اطفال اليوم رجال الغد ومستقبل الامه,Positive
اطمئن يا قلبى فرزقى لا ياخذه غيرى,Positive
اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته,Negative
اعطيه علي راسي هدا الصح ياحاجه الله اكبر,Negative
اعلن الانسحاب يا حمار,Negative
اعمل ليومك غدك كن متفائلا دائما يا صاحبي,Positive
اعنكم الله تقبل منكم يسر طريقكم,Positive
اغرورقت عيناي بالدموع,Negative
افتخر اني مسلم نعمه من نعم ربي,Positive
افشو السلام بينكم,Positive
افعال لا تضاهيها اقوال,Positive
افلام الرعب تاثر على اطفالنا,Negative
اقترح تحويلهم الى طبيب نفسي ليس الى القضاء,Negative
اقرفني شعر تقول حاط دبر امل وجاي,Negative
اقرفني والله,Negative
اقسم بالله ان العرب اكثر الشعوب تخلفا,Negative
اقسم بالله انه منتهيي,Negative
اقسم بالله قرف المريض نفسيا للابد يبقى مريض نفسيا,Negative
اقطع راسها وخلص,Negative
اقل من عادي هذا مستواك اقلب وجهك,Negative
اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله,Negative
اكبر مشروع طاقه شمسيه بالعالم...في الاردن اسمه شمس معان..حفظ الله الاردن,Positive
"اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح",Negative
اكثر بني ادم يعاني في الحياه هو المغترب بين الاردن والسعوديه لا اللي هنا فاهين عليه ولا اللي هناك والكل ما بحبو,Negative
اكرمك الله يا استاذي الفاضل,Positive
اكيد الله لا يحرمنا من هالنعمه العظيمه,Positive
اكيد بقرف,Negative
اكيد جزاك الله خيرا,Positive
اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان,Negative
اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,Positive
اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم,Negative
اكيد ماحدا بيقدر يارب اعن الفقراء واعنا مساعدتهم,Positive
"الاْردن تعدّل المناهج: تقليصا في الاستشهاد بايات قرانيه واحاديث نبويه، وبدلا من ذلك تمّ اعتماد دروس اقرب الى اخلاق الحياه اليوميه للطالب",Negative
الا لعنه الله على الشيعه الى يوم الدين,Negative
الا يكفي ان نسبه مرضى السرطان في الاردن اعلى نسبه عالميه بسبب مفاعل دايمونه الاسرائيلي بكل جهل نضعهه في بلدنا,Negative
الابتسامه كلمه طيبه بدون حروف,Positive
الاخلاص اللهم انا نسالك الاخلاص فى القول العمل السر العلن,Positive
الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار ... التردي ليس مرتبط بالربيع العربي بل قبله بمده عام,Negative
الاردن كثير حلوه من كل النواحي.. طبيعه و معالم و اثار,Positive
الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نووي يعنى مقامره كامله بمئات الملاييين المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات علاوه على ان كل هيئه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه للتنقيب عن اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول بكميات على الاقل تكفي استهلكنا المحلي,Negative
الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله,Positive
الاردن هذا الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه في الديوان الملكي كيف شعوره لو المشروع طاقه نوويه ؟! شو علاقه الفخر والاعتزاز ؟!,Negative
الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف,Positive
الاسف  مافي اي حدا بتحمل الانتقاد ,Negative
